symbol,min_score,max_move_pct,notes
DMRC,0.75,3,
DNOW,0.75,3,
DOCN,0.75,3,
DOCU,0.75,3,
DOGZ,0.75,3,
DORM,0.75,3,
DOV,0.75,3,
DOX,0.75,3,
DPC,0.75,3,
DRD,0.75,3,
DSGX,0.75,3,
DSP,0.75,3,
DSY,0.75,3,
DT,0.75,3,
DTM,0.75,3,
DUOL,0.75,3,
DUOT,0.75,3,
DV,0.75,3,
DVLT,0.75,3,
DVN,0.75,3,
DWSN,0.75,3,
DXCM,0.75,3,
DY,0.75,3,
EBAY,0.75,3,
EBF,0.75,3,
ECG,0.75,3,
ECL,0.75,3,
ECOR,0.75,3,
EDTK,0.75,3,
EEIQ,0.75,3,
EFOI,0.75,3,
EFTY,0.75,3,
EFX,0.75,3,
EFXT,0.75,3,
EGG,0.75,3,
EGO,0.75,3,
EGP,0.75,3,
EHC,0.75,3,
ELDN,0.75,3,
ELE,0.75,3,
ELF,0.75,3,
ELMD,0.75,3,
ELMT,0.75,3,
ELS,0.75,3,
ELVA,0.75,3,
ELVR,0.75,3,
ELWT,0.75,3,
EME,0.75,3,
EMR,0.75,3,
ENPH,0.75,3,
ENS,0.75,3,
ENSC,0.75,3,
ENSG,0.75,3,
ENTG,0.75,3,
EOG,0.75,3,
EONR,0.75,3,
EP,0.75,3,
EPAC,0.75,3,
EPAM,0.75,3,
EPSN,0.75,3,
EQIX,0.75,3,
EQT,0.75,3,
EQX,0.75,3,
ERIC,0.75,3,
ERII,0.75,3,
ERO,0.75,3,
ESCA,0.75,3,
ESE,0.75,3,
ESI,0.75,3,
ESLA,0.75,3,
ESOA,0.75,3,
ESTA,0.75,3,
ESTC,0.75,3,
ETD,0.75,3,
ETN,0.75,3,
ETON,0.75,3,
EVCM,0.75,3,
EVER,0.75,3,
EVI,0.75,3,
EVLV,0.75,3,
EW,0.75,3,
EXE,0.75,3,
EXEL,0.75,3,
EXK,0.75,3,
EXLS,0.75,3,
EXP,0.75,3,
EXPD,0.75,3,
EXPO,0.75,3,
EXTR,0.75,3,
EXYN,0.75,3,
FANG,0.75,3,
FAST,0.75,3,
FATN,0.75,3,
FBYD,0.75,3,
FCX,0.75,3,
FDS,0.75,3,
FDXF,0.75,3,
FEBO,0.75,3,
FEIM,0.75,3,
FELE,0.75,3,
FENC,0.75,3,
FER,0.75,3,
FF,0.75,3,
FFIV,0.75,3,
FICO,0.75,3,
FIEE,0.75,3,
FIGS,0.75,3,
FIVE,0.75,3,
FIX,0.75,3,
FIZZ,0.75,3,
FLEX,0.75,3,
FLNC,0.75,3,
FLS,0.75,3,
FLXS,0.75,3,
FLYW,0.75,3,
FLZH,0.75,3,
FMST,0.75,3,
FN,0.75,3,
FNGR,0.75,3,
FNV,0.75,3,
FOCL,0.75,3,
FORM,0.75,3,
FPS,0.75,3,
FROG,0.75,3,
FRPT,0.75,3,
FRSH,0.75,3,
FSI,0.75,3,
FSLR,0.75,3,
FSLY,0.75,3,
FSM,0.75,3,
FSS,0.75,3,
FSTR,0.75,3,
FSV,0.75,3,
FTAI,0.75,3,
FTCI,0.75,3,
FTDR,0.75,3,
FTI,0.75,3,
FTK,0.75,3,
FTNT,0.75,3,
FTV,0.75,3,
FUSE,0.75,3,
FXHO,0.75,3,
GAU,0.75,3,
GCTS,0.75,3,
GEF,0.75,3,
GEF.B,0.75,3,
GEOS,0.75,3,
GEV,0.75,3,
GFI,0.75,3,
GFR,0.75,3,
GFS,0.75,3,
GGG,0.75,3,
GH,0.75,3,
GHM,0.75,3,
GIB,0.75,3,
GIC,0.75,3,
GIFT,0.75,3,
GIII,0.75,3,
GILD,0.75,3,
GKOS,0.75,3,
GLOO,0.75,3,
GLW,0.75,3,
GMED,0.75,3,
GNRC,0.75,3,
GNSS,0.75,3,
GNTX,0.75,3,
GOAI,0.75,3,
GOLF,0.75,3,
GORO,0.75,3,
GPGI,0.75,3,
GRBK,0.75,3,
GRC,0.75,3,
GRDN,0.75,3,
GRML,0.75,3,
GRMN,0.75,3,
GROY,0.75,3,
GSAT,0.75,3,
GSIT,0.75,3,
GSK,0.75,3,
GTX,0.75,3,
GVA,0.75,3,
GWW,0.75,3,
GYRE,0.75,3,
HAFN,0.75,3,
HAL,0.75,3,
HALO,0.75,3,
HAYW,0.75,3,
HBM,0.75,3,
HBNB,0.75,3,
HCAI,0.75,3,
HCC,0.75,3,
HCKT,0.75,3,
HCSG,0.75,3,
HD,0.75,3,
HDSN,0.75,3,
HIMS,0.75,3,
HIT,0.75,3,
HL,0.75,3,
HLIO,0.75,3,
HLIT,0.75,3,
HLN,0.75,3,
HLP,0.75,3,
HMH,0.75,3,
HMY,0.75,3,
HNGE,0.75,3,
HNRG,0.75,3,
HNST,0.75,3,
HOFT,0.75,3,
HONA,0.75,3,
HOUR,0.75,3,
HPAI,0.75,3,
HQ,0.75,3,
HQI,0.75,3,
HQY,0.75,3,
HROW,0.75,3,
HSTM,0.75,3,
HSY,0.75,3,
HTFL,0.75,3,
HTLD,0.75,3,
HTLM,0.75,3,
HUBB,0.75,3,
HUBG,0.75,3,
HUBS,0.75,3,
HUHU,0.75,3,
HWH,0.75,3,
HWKN,0.75,3,
HXHX,0.75,3,
HXL,0.75,3,
HYFT,0.75,3,
IAG,0.75,3,
IBEX,0.75,3,
IBM,0.75,3,
IBP,0.75,3,
IBTA,0.75,3,
ICCC,0.75,3,
ICHR,0.75,3,
ICLR,0.75,3,
IDCC,0.75,3,
IDN,0.75,3,
IDR,0.75,3,
IDXX,0.75,3,
IE,0.75,3,
IESC,0.75,3,
IEX,0.75,3,
IIIN,0.75,3,
ILAG,0.75,3,
ILMN,0.75,3,
IMDX,0.75,3,
IMO,0.75,3,
IMOS,0.75,3,
IMTE,0.75,3,
INCY,0.75,3,
INDP,0.75,3,
INDV,0.75,3,
INFU,0.75,3,
INFY,0.75,3,
INGR,0.75,3,
INIO,0.75,3,
INLX,0.75,3,
INNV,0.75,3,
INOD,0.75,3,
INSP,0.75,3,
INSW,0.75,3,
INTA,0.75,3,
INTC,0.75,3,
INTT,0.75,3,
INTU,0.75,3,
INTZ,0.75,3,
INVX,0.75,3,
IOSP,0.75,3,
IOT,0.75,3,
IOTR,0.75,3,
IOVA,0.75,3,
IPAR,0.75,3,
IPDN,0.75,3,
IPGP,0.75,3,
IQST,0.75,3,
IR,0.75,3,
IRIX,0.75,3,
IRMD,0.75,3,
IRTC,0.75,3,
ISRG,0.75,3,
ITRG,0.75,3,
ITT,0.75,3,
ITW,0.75,3,
J,0.75,3,
JAN,0.75,3,
JAZZ,0.75,3,
JBHT,0.75,3,
JBL,0.75,3,
JBSS,0.75,3,
JBTM,0.75,3,
JCI,0.75,3,
JCTC,0.75,3,
JDZG,0.75,3,
JF,0.75,3,
JFB,0.75,3,
JHX,0.75,3,
JJSF,0.75,3,
JKHY,0.75,3,
JL,0.75,3,
JLHL,0.75,3,
JMIA,0.75,3,
JNJ,0.75,3,
JRSH,0.75,3,
JUNS,0.75,3,
